"weight";"lat";"lon"
"1";"52.265";"4.699"
"1";"52.275";"4.709"
"1";"52.485";"4.729"
"1";"52.495";"4.729"
"1";"52.395";"4.719"
"1";"52.415";"4.719"
"1";"52.275";"4.719"
"1";"52.255";"4.679"
"1";"52.475";"4.729"
"1";"52.505";"4.729"
"1";"52.365";"4.719"
"1";"52.405";"4.719"
"1";"52.245";"4.679"
"1";"52.465";"4.729"
"1";"52.385";"4.719"
"1";"52.255";"4.689"
"1";"52.235";"4.689"
"1";"52.455";"4.729"
"1";"52.225";"4.699"
"1";"52.515";"4.729"
"1";"52.265";"4.689"
"1";"52.235";"4.679"
"1";"52.225";"4.689"
"1";"52.085";"4.769"
"1";"52.275";"4.729"
"1";"52.535";"4.729"
"1";"52.525";"4.729"
"1";"52.315";"4.889"
"1";"52.215";"4.709"
"1";"52.315";"4.879"
"1";"52.505";"5.559"
"1";"52.455";"4.759"
"1";"52.215";"4.729"
"1";"52.155";"4.759"
"1";"52.465";"4.759"
"1";"52.195";"4.789"
"1";"52.215";"4.719"
"1";"52.195";"4.799"
"1";"52.145";"4.759"
"1";"52.565";"4.679"
"1";"52.175";"4.849"
"1";"52.575";"4.659"
"1";"52.205";"4.759"
"1";"52.215";"4.739"
"1";"52.185";"4.819"
"1";"52.185";"4.829"
"1";"52.315";"4.869"
"1";"52.205";"4.769"
"1";"52.135";"4.759"
"1";"52.265";"5.089"
"1";"52.505";"5.569"
"1";"52.245";"4.659"
"1";"52.555";"4.699"
"1";"52.445";"4.759"
"1";"52.545";"4.719"
"1";"52.195";"4.729"
"1";"52.475";"4.759"
"1";"52.125";"4.759"
"1";"52.575";"4.649"
"1";"52.575";"4.639"
"1";"52.245";"4.669"
"1";"52.445";"4.729"
"1";"52.545";"4.709"
"1";"52.115";"4.759"
"1";"52.625";"5.089"
"1";"52.205";"4.719"
"1";"52.315";"4.959"
"1";"52.315";"4.969"
"1";"52.315";"4.949"
"1";"52.175";"4.859"
"1";"52.325";"5.049"
"1";"52.385";"4.749"
"1";"52.325";"5.039"
"1";"52.315";"4.829"
"1";"52.325";"5.029"
"1";"52.315";"4.979"
"1";"52.225";"4.709"
"1";"52.575";"4.629"
"1";"52.185";"4.739"
"1";"52.375";"4.749"
"1";"52.235";"4.639"
"1";"52.575";"4.619"
"1";"52.375";"4.719"
"1";"52.555";"4.689"
"1";"52.315";"4.939"
"1";"52.205";"5.089"
"1";"52.505";"5.579"
"1";"52.315";"4.819"
"1";"52.225";"4.599"
"1";"52.315";"4.989"
"1";"52.235";"4.649"
"1";"52.605";"4.519"
"1";"52.505";"5.549"
"1";"52.325";"5.089"
"1";"52.205";"4.749"
"1";"52.575";"4.609"
"1";"52.165";"4.749"
"1";"52.315";"4.859"
"1";"52.315";"4.839"
"1";"52.075";"4.769"
"1";"52.045";"4.769"
"1";"52.325";"5.059"
"1";"52.215";"4.699"
"1";"52.235";"4.619"
"1";"52.175";"4.749"
"1";"52.435";"4.759"
"1";"52.315";"4.919"
"1";"52.595";"4.529"
"1";"52.325";"5.019"
"1";"52.235";"4.629"
"1";"52.225";"4.609"
"1";"52.575";"4.599"
"1";"52.565";"4.669"
"1";"52.305";"4.909"
"1";"52.175";"4.839"
"1";"52.305";"4.919"
"1";"52.305";"4.899"
"1";"52.345";"5.089"
"1";"52.065";"4.769"
"1";"52.105";"4.759"
"1";"52.035";"4.769"
"1";"52.655";"4.519"
"1";"52.225";"4.589"
"1";"52.335";"5.089"
"1";"52.575";"4.589"
"1";"52.015";"4.769"
"1";"52.055";"4.769"
"1";"52.325";"5.009"
"1";"52.095";"4.769"
"1";"52.505";"4.759"
"1";"52.175";"4.869"
"1";"52.295";"4.959"
"1";"52.485";"4.759"
"1";"52.025";"4.769"
"1";"52.425";"4.719"
"1";"52.365";"4.749"
"1";"52.185";"4.809"
"1";"52.315";"4.999"
"1";"52.205";"4.779"
"1";"52.285";"4.979"
"1";"52.315";"4.909"
"1";"52.575";"4.579"
"1";"52.005";"4.769"
"1";"52.525";"5.089"
"1";"52.285";"4.999"
"1";"51.925";"4.149"
"1";"52.395";"4.749"
"1";"52.175";"4.939"
"1";"52.615";"4.519"
"1";"52.285";"5.009"
"1";"52.225";"4.579"
"1";"52.675";"4.539"
"1";"52.665";"4.529"
"1";"52.495";"5.599"
"1";"52.495";"4.759"
"1";"52.515";"4.759"
"1";"52.635";"4.519"
"1";"52.285";"4.989"
"1";"52.295";"4.939"
"1";"52.175";"4.929"
"1";"52.645";"4.519"
"1";"52.275";"5.049"
"1";"52.575";"4.669"
"1";"52.475";"4.439"
"1";"52.295";"4.949"
"1";"52.185";"4.989"
"1";"52.255";"4.849"
"1";"52.195";"4.809"
"1";"52.175";"4.919"
"1";"52.185";"4.979"
"1";"52.495";"5.609"
"1";"52.515";"5.519"
"1";"52.315";"4.809"
"1";"52.275";"5.059"
"1";"52.175";"4.909"
"1";"52.285";"4.839"
"1";"52.585";"4.539"
"1";"52.275";"5.039"
"1";"52.185";"4.969"
"1";"52.175";"4.879"
"1";"51.935";"4.159"
"1";"52.335";"5.069"
"1";"52.265";"5.099"
"1";"52.335";"5.079"
"1";"52.265";"5.109"
"1";"52.285";"5.019"
"1";"52.515";"4.769"
"1";"52.135";"4.179"
"1";"51.915";"4.139"
"1";"52.275";"5.069"
"1";"52.195";"4.779"
"1";"52.315";"4.899"
"1";"52.475";"4.149"
"1";"52.685";"4.719"
"1";"52.215";"4.749"
"1";"52.305";"4.929"
"1";"52.275";"5.029"
"1";"52.175";"4.949"
"1";"52.685";"4.699"
"1";"52.265";"5.119"
"1";"52.415";"4.389"
"1";"52.175";"4.889"
"1";"52.185";"4.959"
"1";"52.085";"4.759"
"1";"51.995";"4.769"
"1";"52.625";"5.079"
"1";"52.515";"5.529"
"1";"52.495";"5.619"
"1";"52.175";"4.899"
"1";"52.685";"4.579"
"1";"52.195";"5.009"
"1";"52.685";"4.709"
"1";"52.255";"5.139"
"1";"52.275";"5.079"
"1";"52.685";"4.729"
"1";"52.425";"4.399"
"1";"52.345";"5.099"
"1";"52.195";"5.039"
"1";"52.615";"5.119"
"1";"52.275";"4.839"
"1";"52.675";"4.549"
"1";"52.675";"4.879"
"1";"52.255";"5.149"
"1";"52.685";"4.569"
"1";"52.555";"4.499"
"1";"52.535";"4.979"
"1";"52.425";"4.749"
"1";"52.195";"5.029"
"1";"52.475";"4.159"
"1";"52.465";"4.429"
"1";"52.265";"4.849"
"1";"52.255";"5.169"
"1";"52.675";"4.899"
"1";"52.195";"5.019"
"1";"52.175";"4.739"
"1";"52.685";"4.689"
"1";"52.165";"4.759"
"1";"52.685";"4.739"
"1";"52.555";"5.359"
"1";"52.315";"4.929"
"1";"52.675";"4.889"
"1";"52.635";"5.049"
"1";"52.535";"5.439"
"1";"52.515";"4.469"
"1";"52.685";"4.749"
"1";"51.985";"4.769"
"1";"51.975";"4.769"
"1";"52.685";"4.629"
"1";"52.515";"5.539"
"1";"52.575";"5.279"
"1";"52.535";"4.859"
"1";"52.255";"5.159"
"1";"52.485";"5.649"
"1";"52.485";"4.449"
"1";"52.195";"5.049"
"1";"52.685";"4.639"
"1";"52.245";"5.209"
"1";"52.165";"4.289"
"1";"52.525";"5.479"
"1";"52.565";"5.319"
"1";"52.475";"4.169"
"1";"52.685";"4.779"
"1";"52.635";"5.039"
"1";"51.905";"4.129"
"1";"52.685";"4.769"
"1";"52.645";"4.999"
"1";"52.155";"4.239"
"1";"52.685";"4.679"
"1";"52.685";"4.619"
"1";"52.685";"4.599"
"1";"52.465";"4.209"
"1";"52.165";"4.299"
"1";"52.645";"5.009"
"1";"52.585";"4.549"
"1";"52.685";"4.809"
"1";"52.505";"4.459"
"1";"52.685";"4.819"
"1";"52.205";"5.079"
"1";"52.655";"4.959"
"1";"52.565";"4.509"
"1";"52.325";"5.069"
"1";"51.915";"4.129"
"1";"52.685";"4.759"
"1";"52.685";"4.589"
"1";"52.605";"5.159"
"1";"51.955";"4.769"
"1";"52.685";"4.789"
"1";"52.635";"5.059"
"1";"52.615";"5.109"
"1";"52.485";"4.129"
"1";"52.585";"5.249"
"1";"52.535";"5.459"
"1";"52.535";"4.939"
"1";"52.235";"5.259"
"1";"52.205";"4.509"
"1";"52.575";"4.549"
"1";"52.555";"5.369"
"1";"52.165";"4.319"
"1";"51.955";"4.189"
"1";"52.685";"4.559"
"1";"52.565";"5.339"
"1";"52.465";"4.199"
"1";"52.265";"5.129"
"1";"52.665";"4.919"
"1";"52.495";"4.089"
"1";"52.535";"4.879"
"1";"52.435";"4.409"
"1";"52.295";"4.969"
"1";"52.205";"5.069"
"1";"52.205";"4.479"
"1";"52.185";"4.999"
"1";"52.685";"4.859"
"1";"52.535";"4.959"
"1";"52.235";"5.269"
"1";"51.965";"4.769"
"1";"52.525";"5.499"
"1";"52.255";"5.179"
"1";"52.145";"4.189"
"1";"52.105";"4.769"
"1";"52.685";"4.609"
"1";"52.535";"4.969"
"1";"52.535";"4.849"
"1";"52.505";"5.589"
"1";"52.435";"4.729"
"1";"52.665";"4.929"
"1";"52.615";"5.129"
"1";"52.245";"5.199"
"1";"52.225";"4.569"
"1";"52.195";"4.459"
"1";"52.685";"4.829"
"1";"52.685";"4.799"
"1";"52.655";"4.969"
"1";"52.545";"5.409"
"1";"52.545";"5.399"
"1";"52.535";"5.449"
"1";"52.285";"4.729"
"1";"52.535";"4.889"
"1";"52.315";"4.849"
"1";"52.245";"5.219"
"1";"52.545";"5.419"
"1";"52.525";"5.489"
"1";"52.565";"5.329"
"1";"52.485";"4.109"
"1";"52.685";"4.839"
"1";"52.625";"5.099"
"1";"52.575";"5.299"
"1";"52.525";"4.759"
"1";"51.835";"4.699"
"1";"52.645";"5.019"
"1";"52.615";"5.139"
"1";"52.585";"5.259"
"1";"52.575";"5.289"
"1";"52.195";"4.439"
"1";"52.625";"4.519"
"1";"52.605";"5.149"
"1";"52.535";"4.919"
"1";"52.495";"4.449"
"1";"52.245";"5.229"
"1";"52.525";"5.069"
"1";"52.485";"4.119"
"1";"52.155";"4.249"
"1";"52.685";"4.849"
"1";"52.575";"4.569"
"1";"52.575";"4.529"
"1";"52.475";"5.689"
"1";"51.905";"4.119"
"1";"52.575";"4.539"
"1";"52.465";"4.189"
"1";"51.975";"4.219"
"1";"52.555";"5.379"
"1";"52.535";"4.949"
"1";"52.215";"4.539"
"1";"52.185";"4.399"
"1";"52.635";"5.069"
"1";"52.085";"4.139"
"1";"52.255";"4.269"
"1";"52.205";"4.489"
"1";"52.195";"4.429"
"1";"52.535";"4.929"
"1";"52.525";"4.479"
"1";"52.195";"4.449"
"1";"52.545";"4.739"
"1";"52.455";"4.419"
"1";"51.875";"4.729"
