"weight";"lat";"lon"
"1001";"52.395";"4.719"
"794";"52.365";"4.719"
"745";"52.485";"4.729"
"738";"52.265";"4.699"
"731";"52.495";"4.729"
"708";"52.385";"4.719"
"673";"52.415";"4.719"
"672";"52.405";"4.719"
"621";"52.275";"4.719"
"595";"52.465";"4.729"
"590";"52.325";"5.089"
"581";"52.505";"4.729"
"564";"52.255";"4.679"
"563";"52.475";"4.729"
"560";"52.265";"4.789"
"550";"52.375";"4.719"
"501";"52.265";"4.689"
"455";"52.315";"4.959"
"454";"52.315";"4.949"
"444";"52.315";"4.969"
"436";"52.315";"4.979"
"428";"52.275";"4.779"
"416";"52.275";"4.709"
"412";"52.315";"4.989"
"409";"52.455";"4.729"
"403";"52.455";"4.759"
"392";"52.315";"4.939"
"391";"52.225";"4.589"
"388";"52.325";"5.029"
"388";"52.325";"5.039"
"384";"52.245";"4.679"
"381";"52.235";"4.619"
"378";"52.255";"4.689"
"378";"52.325";"5.049"
"372";"52.315";"4.919"
"367";"52.225";"4.599"
"367";"52.315";"4.909"
"364";"52.315";"4.889"
"363";"52.325";"5.019"
"356";"52.325";"5.059"
"355";"52.465";"4.759"
"348";"52.325";"5.009"
"335";"52.325";"5.069"
"334";"52.275";"4.789"
"332";"52.235";"4.629"
"326";"52.515";"4.729"
"324";"52.245";"4.669"
"319";"52.225";"4.579"
"319";"52.315";"4.999"
"315";"52.245";"5.089"
"315";"52.285";"4.779"
"314";"52.425";"4.719"
"304";"52.475";"4.759"
"301";"52.245";"4.659"
"297";"52.325";"5.079"
"290";"52.445";"4.759"
"288";"52.235";"4.639"
"284";"52.255";"4.799"
"279";"52.505";"5.559"
"274";"52.445";"4.729"
"271";"52.435";"4.759"
"269";"52.235";"4.689"
"268";"52.235";"4.649"
"267";"52.335";"5.089"
"262";"52.275";"4.729"
"256";"52.375";"4.749"
"255";"52.215";"4.559"
"249";"52.525";"4.729"
"249";"52.235";"4.679"
"246";"52.315";"4.879"
"245";"52.505";"5.569"
"244";"52.535";"4.729"
"242";"52.225";"4.609"
"241";"52.345";"4.749"
"237";"52.385";"4.749"
"230";"52.365";"4.749"
"228";"52.225";"4.699"
"227";"52.505";"5.549"
"221";"52.325";"5.099"
"221";"52.505";"4.759"
"220";"52.495";"4.759"
"219";"52.315";"4.899"
"219";"52.315";"4.869"
"217";"52.225";"4.689"
"215";"52.085";"4.769"
"214";"51.925";"4.149"
"210";"52.215";"4.569"
"209";"52.485";"4.759"
"204";"51.915";"4.139"
"201";"52.255";"4.789"
"194";"52.515";"4.759"
"193";"52.505";"5.579"
"192";"52.215";"4.709"
"190";"52.265";"4.779"
"190";"52.245";"5.019"
"190";"52.245";"5.029"
"187";"52.215";"4.739"
"187";"52.185";"4.809"
"185";"52.085";"4.799"
"183";"52.215";"4.549"
"182";"52.245";"5.009"
"182";"52.245";"4.979"
"181";"52.245";"5.049"
"180";"52.335";"5.099"
"178";"52.245";"4.989"
"177";"52.195";"4.789"
"177";"52.495";"5.529"
"177";"52.195";"4.729"
"176";"52.245";"5.039"
"176";"52.245";"4.999"
"175";"52.225";"4.569"
"175";"51.935";"4.159"
"172";"52.245";"5.069"
"172";"52.245";"5.059"
"169";"52.245";"5.079"
"169";"52.245";"4.959"
"169";"52.255";"4.809"
"168";"52.195";"4.809"
"167";"52.245";"4.629"
"167";"52.195";"4.779"
"166";"52.205";"5.089"
"163";"52.235";"4.609"
"162";"52.325";"5.109"
"160";"52.245";"4.969"
"159";"52.425";"4.749"
"159";"52.245";"4.639"
"158";"52.205";"4.759"
"158";"52.245";"4.939"
"158";"52.395";"4.749"
"157";"52.205";"4.499"
"156";"52.245";"5.099"
"155";"52.215";"4.729"
"155";"52.255";"4.669"
"153";"52.515";"4.769"
"152";"52.195";"4.799"
"152";"51.905";"4.129"
"151";"52.245";"4.949"
"151";"52.565";"4.679"
"151";"52.415";"4.749"
"150";"51.955";"4.189"
"149";"52.215";"4.719"
"149";"52.505";"5.539"
"149";"52.315";"4.929"
"149";"52.185";"4.829"
"149";"52.105";"4.799"
"147";"52.185";"4.819"
"147";"52.115";"4.799"
"147";"52.205";"4.769"
"146";"52.525";"5.089"
"146";"52.205";"4.509"
"146";"51.975";"4.219"
"145";"52.205";"4.489"
"145";"52.525";"4.759"
"144";"52.575";"4.659"
"144";"52.495";"5.539"
"143";"52.245";"4.649"
"143";"52.435";"4.719"
"142";"52.335";"5.109"
"142";"52.555";"4.699"
"142";"52.085";"4.789"
"142";"52.175";"4.849"
"141";"52.545";"4.719"
"141";"52.405";"4.729"
"141";"52.245";"5.109"
"140";"52.095";"4.799"
"140";"52.125";"4.799"
"139";"52.205";"4.479"
"139";"52.215";"4.539"
"139";"52.205";"4.779"
